movie_id,Title,Year,ParentalGuide,Runtime,gross_us_canada
0042192,All About Eve,1950,Passed,138,63463
0993846,The Wolf of Wall Street,2013,R,180,116900694
6966692,Green Book,2018,PG-13,130,85080171
0055031,Judgment at Nuremberg,1961,Approved,179,
6791350,Guardians of the Galaxy Vol. 3,2023,PG-13,150,168401178
0089881,Ran,1985,R,162,4135750
0112641,Casino,1995,R,178,42512375
0120382,The Truman Show,1998,PG,103,125618201
0469494,There Will Be Blood,2007,R,158,40222514
0457430,Pan's Labyrinth,2006,R,118,37646380
0105695,Unforgiven,1992,R,130,101167799
1130884,Shutter Island,2010,R,138,128012934
0167404,The Sixth Sense,1999,PG-13,107,293506292
0107290,Jurassic Park,1993,PG-13,127,404214720
0268978,A Beautiful Mind,2001,PG-13,135,170742341
0055630,Yojimbo,1961,Unrated,110,46808
0040897,The Treasure of the Sierra Madre,1948,Passed,126,5014000
0071853,Monty Python and the Holy Grail,1975,PG,91,1827696
0477348,No Country for Old Men,2007,R,122,74283625
0266697,Kill Bill: Vol. 1,2003,R,111,70099045
0057115,The Great Escape,1963,Approved,172,
0042876,Rashomon,1950,Unrated,88,46808
0084787,The Thing,1982,R,109,19629760
0266543,Finding Nemo,2003,G,100,380843261
10872600,Spider-Man: No Way Home,2021,PG-13,148,814115070
0080678,The Elephant Man,1980,PG,124,26010864
0071315,Chinatown,1974,R,130,29200000
0081398,Raging Bull,1980,R,129,23383987
0434409,V for Vendetta,2005,R,132,70511035
0031381,Gone with the Wind,1939,Passed,238,200882193
0046912,Dial M for Murder,1954,PG,105,24845
0120735,"Lock, Stock and Two Smoking Barrels",1998,R,107,3753929
2096673,Inside Out,2015,PG,95,356921711
0347149,Howl's Moving Castle,2004,PG,119,6789268
1305806,The Secret in Their Eyes,2009,R,129,6391436
5027774,"Three Billboards Outside Ebbing, Missouri",2017,R,115,54513740
0117951,Trainspotting,1996,R,93,16491080
0050212,The Bridge on the River Kwai,1957,PG,161,27200000
1392214,Prisoners,2013,R,153,61002302
0116282,Fargo,1996,R,98,24611975
1291584,Warrior,2011,PG-13,140,13657115
1205489,Gran Torino,2008,R,116,148095302
0264464,Catch Me If You Can,2002,PG-13,141,164615351
0096283,My Neighbor Totoro,1988,G,86,2250213
0405159,Million Dollar Baby,2004,PG-13,132,100492203
0118849,Children of Heaven,1997,PG,89,933933
0083658,Blade Runner,1982,R,117,32914489
0015864,The Gold Rush,1925,Passed,95,
4729430,Klaus,2019,PG,96,
1201607,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,130,381447587
0112471,Before Sunrise,1995,R,101,5535405
2024544,12 Years a Slave,2013,R,134,56671993
0052618,Ben-Hur,1959,G,212,74432704
2278388,The Grand Budapest Hotel,2014,R,99,59301324
0047296,On the Waterfront,1954,Approved,108,
2267998,Gone Girl,2014,R,149,167767189
0050986,Wild Strawberries,1957,Unrated,91,
0072684,Barry Lyndon,1975,PG,185,
0017925,The General,1926,Passed,67,
0107207,In the Name of the Father,1993,R,133,25096862
0077416,The Deer Hunter,1978,R,183,48979328
2119532,Hacksaw Ridge,2016,R,139,67209615
0041959,The Third Man,1949,Approved,93,1067364
0046268,The Wages of Fear,1953,Unrated,131,
0353969,Memories of Murder,2003,Unrated,132,15357
3011894,Wild Tales,2014,R,122,3106530
0015324,Sherlock Jr.,1924,Passed,45,977375
0031679,Mr. Smith Goes to Washington,1939,Passed,129,144738
10366206,John Wick: Chapter 4,2023,R,169,181514089
