movie_id,Title,Year,ParentalGuide,Runtime,gross_us_canada,Star
0088763,Back to the Future,1985,PG,116,212836762,Lea Thompson
0245429,Spirited Away,2001,PG,125,15205725,Daveigh Chase
0245429,Spirited Away,2001,PG,125,15205725,Suzanne Pleshette
0245429,Spirited Away,2001,PG,125,15205725,Miyu Irino
0253474,The Pianist,2002,R,150,32572577,Adrien Brody
0253474,The Pianist,2002,R,150,32572577,Thomas Kretschmann
0253474,The Pianist,2002,R,150,32572577,Frank Finlay
0054215,Psycho,1960,R,109,32000000,Anthony Perkins
0054215,Psycho,1960,R,109,32000000,Janet Leigh
0054215,Psycho,1960,R,109,32000000,Vera Miles
6751668,Parasite,2019,R,132,53369749,Song Kang-ho
6751668,Parasite,2019,R,132,53369749,Lee Sun-kyun
6751668,Parasite,2019,R,132,53369749,Cho Yeo-jeong
0110413,Léon: The Professional,1994,R,110,19501238,Jean Reno
0110413,Léon: The Professional,1994,R,110,19501238,Gary Oldman
0110413,Léon: The Professional,1994,R,110,19501238,Natalie Portman
0172495,Gladiator,2000,R,155,187705427,Russell Crowe
0172495,Gladiator,2000,R,155,187705427,Joaquin Phoenix
0172495,Gladiator,2000,R,155,187705427,Connie Nielsen
0110357,The Lion King,1994,G,88,422783777,Matthew Broderick
0110357,The Lion King,1994,G,88,422783777,Jeremy Irons
0110357,The Lion King,1994,G,88,422783777,James Earl Jones
0120586,American History X,1998,R,119,6719864,Edward Norton
0120586,American History X,1998,R,119,6719864,Edward Furlong
0120586,American History X,1998,R,119,6719864,Beverly D'Angelo
0407887,The Departed,2006,R,151,132399394,Leonardo DiCaprio
0407887,The Departed,2006,R,151,132399394,Matt Damon
0407887,The Departed,2006,R,151,132399394,Jack Nicholson
2582802,Whiplash,2014,R,106,13092000,Miles Teller
2582802,Whiplash,2014,R,106,13092000,J.K. Simmons
2582802,Whiplash,2014,R,106,13092000,Melissa Benoist
0482571,The Prestige,2006,PG-13,130,53089891,Christian Bale
0482571,The Prestige,2006,PG-13,130,53089891,Hugh Jackman
0482571,The Prestige,2006,PG-13,130,53089891,Scarlett Johansson
0114814,The Usual Suspects,1995,R,106,23341568,Kevin Spacey
0114814,The Usual Suspects,1995,R,106,23341568,Gabriel Byrne
0114814,The Usual Suspects,1995,R,106,23341568,Chazz Palminteri
0034583,Casablanca,1942,PG,102,4219709,Humphrey Bogart
0034583,Casablanca,1942,PG,102,4219709,Ingrid Bergman
0034583,Casablanca,1942,PG,102,4219709,Paul Henreid
0095327,Grave of the Fireflies,1988,Unrated,89,516962,Tsutomu Tatsumi
0095327,Grave of the Fireflies,1988,Unrated,89,516962,Ayano Shiraishi
0095327,Grave of the Fireflies,1988,Unrated,89,516962,Akemi Yamaguchi
0056058,Harakiri,1962,Unrated,133,,Tatsuya Nakadai
0056058,Harakiri,1962,Unrated,133,,Akira Ishihama
0056058,Harakiri,1962,Unrated,133,,Shima Iwashita
1675434,The Intouchables,2011,R,112,10198820,François Cluzet
1675434,The Intouchables,2011,R,112,10198820,Omar Sy
1675434,The Intouchables,2011,R,112,10198820,Anne Le Ny
0027977,Modern Times,1936,G,87,163577,Charles Chaplin
0027977,Modern Times,1936,G,87,163577,Paulette Goddard
0027977,Modern Times,1936,G,87,163577,Henry Bergman
0064116,Once Upon a Time in the West,1968,PG-13,165,5321508,Henry Fonda
0064116,Once Upon a Time in the West,1968,PG-13,165,5321508,Charles Bronson
0064116,Once Upon a Time in the West,1968,PG-13,165,5321508,Claudia Cardinale
0095765,Cinema Paradiso,1988,PG,155,12397210,Philippe Noiret
0095765,Cinema Paradiso,1988,PG,155,12397210,Enzo Cannavale
0095765,Cinema Paradiso,1988,PG,155,12397210,Antonella Attili
0047396,Rear Window,1954,PG,112,36764313,James Stewart
0047396,Rear Window,1954,PG,112,36764313,Grace Kelly
0047396,Rear Window,1954,PG,112,36764313,Wendell Corey
0078748,Alien,1979,R,117,81900459,Sigourney Weaver
0078748,Alien,1979,R,117,81900459,Tom Skerritt
0078748,Alien,1979,R,117,81900459,John Hurt
0021749,City Lights,1931,G,87,19181,Charles Chaplin
0021749,City Lights,1931,G,87,19181,Virginia Cherrill
0021749,City Lights,1931,G,87,19181,Florence Lee
0078788,Apocalypse Now,1979,R,147,96042913,Martin Sheen
0078788,Apocalypse Now,1979,R,147,96042913,Marlon Brando
0078788,Apocalypse Now,1979,R,147,96042913,Robert Duvall
0209144,Memento,2000,R,113,25544867,Guy Pearce
0209144,Memento,2000,R,113,25544867,Carrie-Anne Moss
0209144,Memento,2000,R,113,25544867,Joe Pantoliano
1853728,Django Unchained,2012,R,165,162805434,Jamie Foxx
1853728,Django Unchained,2012,R,165,162805434,Christoph Waltz
1853728,Django Unchained,2012,R,165,162805434,Leonardo DiCaprio
0082971,Indiana Jones and the Raiders of the Lost Ark,1981,PG,115,248159971,Harrison Ford
0082971,Indiana Jones and the Raiders of the Lost Ark,1981,PG,115,248159971,Karen Allen
0082971,Indiana Jones and the Raiders of the Lost Ark,1981,PG,115,248159971,Paul Freeman
0910970,WALL·E,2008,G,98,223808164,Ben Burtt
0910970,WALL·E,2008,G,98,223808164,Elissa Knight
0910970,WALL·E,2008,G,98,223808164,Jeff Garlin
0405094,The Lives of Others,2006,R,137,11286112,Ulrich Mühe
0405094,The Lives of Others,2006,R,137,11286112,Martina Gedeck
0405094,The Lives of Others,2006,R,137,11286112,Sebastian Koch
0043014,Sunset Blvd.,1950,Passed,110,299645,William Holden
0043014,Sunset Blvd.,1950,Passed,110,299645,Gloria Swanson
0043014,Sunset Blvd.,1950,Passed,110,299645,Erich von Stroheim
0050825,Paths of Glory,1957,Approved,88,,Kirk Douglas
0050825,Paths of Glory,1957,Approved,88,,Ralph Meeker
0050825,Paths of Glory,1957,Approved,88,,Adolphe Menjou
0081505,The Shining,1980,R,146,45634352,Jack Nicholson
0081505,The Shining,1980,R,146,45634352,Shelley Duvall
0081505,The Shining,1980,R,146,45634352,Danny Lloyd
0032553,The Great Dictator,1940,G,125,,Charles Chaplin
0032553,The Great Dictator,1940,G,125,,Paulette Goddard
0032553,The Great Dictator,1940,G,125,,Jack Oakie
4154756,Avengers: Infinity War,2018,PG-13,149,678815482,Robert Downey Jr.
4154756,Avengers: Infinity War,2018,PG-13,149,678815482,Chris Hemsworth
4154756,Avengers: Infinity War,2018,PG-13,149,678815482,Mark Ruffalo
0051201,Witness for the Prosecution,1957,Approved,116,,Tyrone Power
0051201,Witness for the Prosecution,1957,Approved,116,,Marlene Dietrich
0051201,Witness for the Prosecution,1957,Approved,116,,Charles Laughton
0090605,Aliens,1986,R,137,85160248,Sigourney Weaver
0090605,Aliens,1986,R,137,85160248,Michael Biehn
0090605,Aliens,1986,R,137,85160248,Carrie Henn
4633694,Spider-Man: Into the Spider-Verse,2018,PG,117,190241310,Shameik Moore
4633694,Spider-Man: Into the Spider-Verse,2018,PG,117,190241310,Jake Johnson
4633694,Spider-Man: Into the Spider-Verse,2018,PG,117,190241310,Hailee Steinfeld
0169547,American Beauty,1999,R,122,130096601,Kevin Spacey
0169547,American Beauty,1999,R,122,130096601,Annette Bening
0169547,American Beauty,1999,R,122,130096601,Thora Birch
0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,95,9440272,Peter Sellers
0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,95,9440272,George C. Scott
0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,95,9440272,Sterling Hayden
1345836,The Dark Knight Rises,2012,PG-13,164,448149584,Christian Bale
1345836,The Dark Knight Rises,2012,PG-13,164,448149584,Tom Hardy
1345836,The Dark Knight Rises,2012,PG-13,164,448149584,Anne Hathaway
0361748,Inglourious Basterds,2009,R,153,120540719,Brad Pitt
0361748,Inglourious Basterds,2009,R,153,120540719,Diane Kruger
0361748,Inglourious Basterds,2009,R,153,120540719,Eli Roth
0364569,Oldboy,2003,R,120,707481,Choi Min-sik
0364569,Oldboy,2003,R,120,707481,Yoo Ji-tae
0364569,Oldboy,2003,R,120,707481,Kang Hye-jeong
0086879,Amadeus,1984,PG,160,51973029,F. Murray Abraham
0086879,Amadeus,1984,PG,160,51973029,Tom Hulce
